accession,file,path,bytes,words,status,form,filingDate,url,listing
0001193125-11-157135,dex11.htm,sec\0001193125-11-157135_dex11.htm,105084,11796,ok,S-1/A,2011-06-02,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511157135/dex11.htm,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001193125-11-157135,dex42e.htm,sec\0001193125-11-157135_dex42e.htm,22535,711,ok,S-1/A,2011-06-02,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511157135/dex42e.htm,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001193125-11-157135,dex231.htm,sec\0001193125-11-157135_dex231.htm,1573,86,ok,S-1/A,2011-06-02,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511157135/dex231.htm,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001193125-11-267503,d241725d8k.htm,sec\0001193125-11-267503_d241725d8k.htm,14470,446,ok,8-K,2011-10-11,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511267503/d241725d8k.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0001193125-11-267503,d241725dex991.htm,sec\0001193125-11-267503_d241725dex991.htm,8705,731,ok,8-K,2011-10-11,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511267503/d241725dex991.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0001193125-11-267503,0001193125-11-267503.txt,sec\0001193125-11-267503_0001193125-11-267503.txt,24010,1303,ok,8-K,2011-10-11,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511267503/0001193125-11-267503.txt,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0001193125-11-292996,d249698d8k.htm,sec\0001193125-11-292996_d249698d8k.htm,16251,447,ok,8-K,2011-11-02,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511292996/d249698d8k.htm,"listing via padded-cik/nodash-dir (15 items, 0 unnamed)"
0001193125-11-292996,d249698dex991.htm,sec\0001193125-11-292996_d249698dex991.htm,200152,5646,ok,8-K,2011-11-02,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511292996/d249698dex991.htm,"listing via padded-cik/nodash-dir (15 items, 0 unnamed)"
0001193125-11-292996,0001193125-11-292996.txt,sec\0001193125-11-292996_0001193125-11-292996.txt,856500,15925,ok,8-K,2011-11-02,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511292996/0001193125-11-292996.txt,"listing via padded-cik/nodash-dir (15 items, 0 unnamed)"
0001104659-12-007755,a12-4364_1sc13ga.htm,sec\0001104659-12-007755_a12-4364_1sc13ga.htm,173608,2395,ok,SC 13G/A,2012-02-08,https://www.sec.gov/Archives/edgar/data/0001318605/000110465912007755/a12-4364_1sc13ga.htm,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001104659-12-007755,0001104659-12-007755.txt,sec\0001104659-12-007755_0001104659-12-007755.txt,175354,2627,ok,SC 13G/A,2012-02-08,https://www.sec.gov/Archives/edgar/data/0001318605/000110465912007755/0001104659-12-007755.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001086364-12-000664,tesla.motors.inc..txt,sec\0001086364-12-000664_tesla.motors.inc..txt,11447,1706,ok,SC 13G,2012-02-09,https://www.sec.gov/Archives/edgar/data/0001318605/000108636412000664/tesla.motors.inc..txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001086364-12-000664,0001086364-12-000664.txt,sec\0001086364-12-000664_0001086364-12-000664.txt,13116,1914,ok,SC 13G,2012-02-09,https://www.sec.gov/Archives/edgar/data/0001318605/000108636412000664/0001086364-12-000664.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0000950155-12-000015,e61688501sc13ga.htm,sec\0000950155-12-000015_e61688501sc13ga.htm,260500,3117,ok,SC 13G/A,2012-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000095015512000015/e61688501sc13ga.htm,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0000950155-12-000015,0000950155-12-000015.txt,sec\0000950155-12-000015_0000950155-12-000015.txt,262178,3339,ok,SC 13G/A,2012-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000095015512000015/0000950155-12-000015.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
